gender,age,gross_income,segment,num_credit_cards,tiprel_1mes,ind_actividad_cliente,num_Products,num_loans,duration
M,23 years,$ 33191.22,College_Graduated,0,A,1,1,0,1509
M,44 years,$ 137912.7,VIP,0,A,1,7,0,5542
F,48 years,$ 109373.88,Individuals,1,A,1,5,0,7104
F,62 years,$ 125565.0,Individuals,0,A,1,1,0,4714
F,44 years,$ 61048.11,Individuals,0,I,0,2,0,5315
F,51 years,$ 73330.77,Individuals,0,A,1,3,0,2825
F,20 years,$ 82140.21,College_Graduated,0,A,1,1,0,409
M,40 years,$ 38155.11,Individuals,0,I,0,1,0,1798
M,24 years,$ 76849.23,College_Graduated,0,I,0,1,0,1823
F,42 years,$ 137842.35,Individuals,0,I,0,0,0,3985
F,23 years,$ 253936.77,College_Graduated,0,I,0,1,0,1431
F,25 years,$ 54442.47,College_Graduated,0,I,0,1,0,1397
F,45 years,$ 71289.63,Individuals,1,A,1,5,0,5219
F,49 years,$ 44718.24,Individuals,0,I,0,0,0,4884
M,20 years,$ 70946.94,College_Graduated,0,I,0,1,0,430
F,69 years,$ 192463.8,Individuals,0,A,1,1,0,4266
F,46 years,$ 184480.08,Individuals,0,A,1,4,0,2110
F,44 years,$ 93029.19,Individuals,0,A,1,2,0,391
M,25 years,$ 97460.82,College_Graduated,0,I,0,1,0,1152
M,36 years,$ 105471.48,Individuals,1,A,1,4,0,4518
F,49 years,$ 92210.46,Individuals,1,A,1,7,1,4002
M,46 years,$ 113586.36,Individuals,0,A,1,1,0,761
F,69 years,$ 146211.93,Individuals,1,A,1,5,0,6904
M,23 years,$ 131311.71,College_Graduated,0,I,0,0,0,1433
M,40 years,$ 139426.5,Individuals,0,I,0,0,0,5163
F,39 years,$ 96281.55,Individuals,0,A,1,1,0,2851
F,49 years,$ 250010.85,Individuals,0,I,0,1,0,3771
F,49 years,$ 147978.39,Individuals,0,A,1,1,0,3731
M,26 years,$ 72384.84,College_Graduated,0,I,0,1,0,1823
F,62 years,$ 105515.49,Individuals,1,A,1,3,0,2348
F,27 years,$ 51814.38,College_Graduated,0,I,0,1,0,1385
F,45 years,$ 240073.38,VIP,0,A,1,2,0,772
M,43 years,$ 123334.77,Individuals,0,I,0,1,0,3533
F,44 years,$ 40582.8,Individuals,0,I,1,1,0,485
F,83 years,$ 111085.29,Individuals,0,I,0,1,0,6754
F,43 years,$ 77829.54,Individuals,0,A,1,1,0,5445
F,49 years,$ 120508.65,Individuals,1,A,1,6,0,5571
F,22 years,$ 37256.91,College_Graduated,0,I,0,0,0,1087
M,25 years,$ 207957.33,College_Graduated,0,I,0,0,0,684
M,43 years,$ 144078.18,Individuals,0,A,1,2,0,4125
M,25 years,$ 102026.04,College_Graduated,0,I,0,1,0,1801
M,22 years,$ 65483.76,College_Graduated,0,I,1,1,0,1131
M,27 years,$ 103297.14,VIP,0,A,1,2,0,411
M,48 years,$ 157911.09,VIP,1,A,1,9,0,3996
M,24 years,$ 60736.17,College_Graduated,0,A,1,2,0,810
F,26 years,$ 64892.97,College_Graduated,0,I,0,1,0,1452
F,49 years,$ 84669.84,Individuals,0,I,0,1,0,6558
F,46 years,$ 152899.47,Individuals,0,A,1,3,0,2996
F,22 years,$ 48536.13,College_Graduated,0,A,1,2,0,1144
M,25 years,$ 87870.99,College_Graduated,0,I,0,1,0,1824
M,20 years,$ 234987.93,College_Graduated,0,I,0,0,0,390
M,59 years,$ 174303.36,VIP,0,A,1,4,0,5281
F,70 years,$ 43426.92,Individuals,0,I,0,0,0,1049
M,20 years,$ 45058.05,College_Graduated,0,I,1,1,0,423
F,25 years,$ 75670.68,College_Graduated,0,I,1,1,0,1815
M,37 years,$ 115818.48,Individuals,0,A,1,7,0,2376
F,27 years,$ 166495.44,College_Graduated,0,I,0,1,0,1062
M,22 years,$ 108185.85,College_Graduated,0,I,1,1,0,1144
M,23 years,$ 50840.07,College_Graduated,0,I,0,1,0,1658
M,48 years,$ 141291.42,Individuals,0,I,0,1,0,5378
M,54 years,$ 163060.68,Individuals,0,I,1,2,0,1924
M,42 years,$ 22323.84,Individuals,0,A,1,1,0,5646
M,42 years,$ 58241.04,Individuals,0,A,1,3,0,1892
M,35 years,$ 36275.55,Individuals,0,I,0,0,0,585
M,73 years,$ 103741.14,Individuals,0,I,0,0,0,6688
F,28 years,$ 37261.2,College_Graduated,0,I,0,1,0,1797
M,55 years,$ 106864.05,Individuals,0,I,0,0,0,4412
M,27 years,$ 70029.18,College_Graduated,0,I,0,1,0,710
F,53 years,$ 82310.19,Individuals,0,I,0,1,0,7054
F,45 years,$ 181860.33,Individuals,0,I,0,0,0,5074
F,22 years,$ 21056.1,College_Graduated,0,I,0,1,0,1075
F,43 years,$ 104024.91,Individuals,1,A,1,9,1,4993
M,61 years,$ 173130.45,Individuals,0,I,1,1,0,1867
F,45 years,$ 146459.1,Individuals,0,I,0,0,0,3738
F,67 years,$ 165483.27,Individuals,0,A,1,1,0,853
F,51 years,$ 174332.16,Individuals,1,A,1,7,0,6722
M,31 years,$ 880562.85,College_Graduated,0,I,0,1,0,1438
M,20 years,$ 103878.57,College_Graduated,0,A,1,1,0,716
M,39 years,$ 32648.28,Individuals,0,A,1,1,0,601
M,22 years,$ 153984.45,College_Graduated,0,I,0,1,0,1054
F,47 years,$ 88928.94,Individuals,0,I,0,0,0,5578
M,24 years,$ 52516.98,College_Graduated,0,I,0,1,0,1514
F,21 years,$ 143897.85,Individuals,0,I,0,2,0,3283
M,27 years,$ 211203.99,College_Graduated,0,I,0,1,0,1419
F,71 years,$ 87277.8,VIP,0,A,1,2,0,2929
M,42 years,$ 51224.58,Individuals,0,I,0,1,0,5319
F,27 years,$ 63663.6,Individuals,0,I,0,1,0,695
M,47 years,$ 183221.97,Individuals,0,A,1,2,0,5473
F,27 years,$ 44550.48,College_Graduated,0,I,1,1,0,685
M,69 years,$ 90588.63,Individuals,0,I,1,2,0,4286
F,56 years,$ 181108.44,Individuals,0,A,1,1,0,5022
M,42 years,$ 96967.65,Individuals,0,A,1,2,0,1084
F,75 years,$ 71771.25,Individuals,0,A,1,2,0,755
M,56 years,$ 865275.51,Individuals,0,I,0,1,0,2900
M,43 years,$ 55313.31,Individuals,0,I,0,0,0,768
F,54 years,$ 166534.17,Individuals,0,I,0,0,0,5347
M,22 years,$ 50108.88,College_Graduated,0,I,0,1,0,1132
M,32 years,$ 30707.22,College_Graduated,0,A,1,2,0,984
M,55 years,$ 170100.0,Individuals,0,A,1,1,0,1200
F,74 years,$ 125991.39,VIP,0,A,1,4,0,5988
F,83 years,$ 54606.03,VIP,0,A,1,5,0,4582
M,54 years,$ 90930.9,Individuals,1,A,1,7,0,2985
M,41 years,$ 107829.24,Individuals,0,I,0,1,0,2780
F,32 years,$ 96158.46,Individuals,0,A,1,4,0,1706
F,21 years,$ 186518.19,Individuals,0,A,1,1,0,3758
M,26 years,$ 65734.35,College_Graduated,0,I,0,1,0,737
M,27 years,$ 90386.7,College_Graduated,0,A,1,2,0,3748
M,39 years,$ 57235.86,Individuals,0,I,1,2,0,4192
M,24 years,$ 179838.57,College_Graduated,0,I,1,1,0,1033
F,28 years,$ 52770.66,College_Graduated,0,I,0,1,0,1868
F,75 years,$ 46830.15,Individuals,0,I,0,1,0,4267
F,56 years,$ 80716.44,Individuals,0,I,0,0,0,5305
F,34 years,$ 113288.94,Individuals,0,A,1,4,0,373
M,24 years,$ 133743.87,College_Graduated,0,I,0,1,0,1809
M,22 years,$ 54087.3,College_Graduated,0,I,0,1,0,1132
F,61 years,$ 144136.08,Individuals,0,A,1,2,0,990
F,53 years,$ 95403.36,VIP,0,A,1,4,0,5975
M,41 years,$ 106557.45,Individuals,0,A,1,5,0,2258
M,22 years,$ 40219.83,College_Graduated,0,I,0,0,0,1131
F,49 years,$ 90192.75,Individuals,0,I,0,1,0,5864
F,41 years,$ 88727.82,Individuals,0,I,0,1,0,4318
M,23 years,$ 130998.78,College_Graduated,0,I,0,0,0,3917
F,49 years,$ 100993.38,Individuals,0,A,1,1,0,7048
M,41 years,$ 410796.66,Individuals,0,A,1,1,0,2358
F,62 years,$ 134965.11,Individuals,0,I,1,1,0,2273
F,27 years,$ 52194.18,College_Graduated,0,A,1,2,0,677
F,32 years,$ 62965.56,College_Graduated,0,I,0,0,0,1774
F,29 years,$ 50349.21,College_Graduated,0,I,0,1,0,1455
F,44 years,$ 117237.24,Individuals,0,I,0,0,0,3652
F,22 years,$ 66398.85,College_Graduated,0,I,0,1,0,725
F,20 years,$ 65136.15,College_Graduated,0,A,1,1,0,426
F,40 years,$ 297720.33,Individuals,0,I,0,1,0,4813
M,52 years,$ 150548.22,Individuals,0,A,1,1,0,2893
F,58 years,$ 51990.12,Individuals,0,A,1,5,0,4338
F,43 years,$ 169802.88,Individuals,1,A,1,6,0,5591
F,52 years,$ 87856.02,Individuals,0,A,1,4,0,6472
M,55 years,$ 306887.07,Individuals,0,A,1,2,0,3432
M,42 years,$ 75266.31,Individuals,0,A,1,2,0,375
F,54 years,$ 151264.26,Individuals,1,A,1,3,0,4629
M,40 years,$ 273773.46,VIP,0,A,1,6,0,4510
M,24 years,$ 65092.8,College_Graduated,0,A,1,1,0,1445
F,83 years,$ 129645.75,Individuals,0,I,0,0,0,4895
F,46 years,$ 137555.49,Individuals,0,A,1,4,0,5471
M,25 years,$ 48582.9,College_Graduated,0,I,0,1,0,1508
F,75 years,$ 337589.19,Individuals,0,I,0,1,0,7776
F,47 years,$ 250209.81,Individuals,0,I,0,0,0,6005
M,23 years,$ 45945.78,College_Graduated,0,I,0,1,0,1466
F,44 years,$ 157428.3,Individuals,0,A,1,4,0,5186
M,42 years,$ 111772.41,Individuals,0,A,1,2,0,2885
M,24 years,$ 164288.97,College_Graduated,0,I,0,1,0,1098
M,25 years,$ 50289.42,College_Graduated,0,I,0,1,0,1872
M,21 years,$ 57667.8,College_Graduated,0,I,0,0,0,725
M,26 years,$ 33926.76,College_Graduated,0,I,0,1,0,1818
F,31 years,$ 108282.78,Individuals,1,A,1,1,0,606
M,40 years,$ 46407.48,Individuals,0,I,0,0,0,4329
M,51 years,$ 61425.69,Individuals,0,A,1,1,0,4113
F,58 years,$ 195030.78,Individuals,0,I,0,1,0,5438
M,42 years,$ 250030.74,Individuals,0,A,1,2,0,1545
M,32 years,$ 29398.26,Individuals,0,I,0,0,0,1433
F,23 years,$ 88983.48,College_Graduated,0,I,1,1,0,1521
F,26 years,$ 89912.73,College_Graduated,0,I,1,1,0,1867
F,26 years,$ 213594.78,College_Graduated,0,I,0,1,0,1151
M,63 years,$ 78409.83,Individuals,0,I,0,1,0,1817
F,71 years,$ 242253.39,Individuals,0,I,0,0,0,2232
F,64 years,$ 60338.88,Individuals,0,I,0,1,0,6338
F,30 years,$ 62790.75,College_Graduated,0,I,0,1,0,1759
F,20 years,$ 93281.4,College_Graduated,0,I,0,1,0,726
F,26 years,$ 90822.54,College_Graduated,0,I,0,1,0,425
M,41 years,$ 175419.48,Individuals,1,A,1,3,0,4920
M,26 years,$ 44655.24,College_Graduated,0,I,0,1,0,1146
F,49 years,$ 80436.75,Individuals,0,A,1,2,0,6509
M,80 years,$ 130654.2,Individuals,0,A,1,1,0,3750
M,38 years,$ 97091.97,Individuals,0,A,1,1,0,1454
M,21 years,$ 154748.37,College_Graduated,0,I,0,1,0,695
F,26 years,$ 234028.74,College_Graduated,0,A,1,1,0,3693
M,23 years,$ 94110.57,College_Graduated,0,I,0,1,0,1446
F,22 years,$ 118003.41,College_Graduated,0,I,1,1,0,1126
F,20 years,$ 66238.71,College_Graduated,0,I,0,0,0,414
F,24 years,$ 130822.74,Individuals,1,A,1,4,0,2613
F,32 years,$ 54369.69,Individuals,0,A,1,2,0,1711
M,22 years,$ 55925.82,College_Graduated,0,A,1,2,0,3911
M,21 years,$ 352702.95,College_Graduated,0,I,0,1,0,426
M,45 years,$ 57678.6,Individuals,0,A,1,2,0,7544
F,33 years,$ 122310.66,Individuals,1,A,1,5,0,796
F,39 years,$ 162514.44,Individuals,1,A,1,3,0,6908
M,48 years,$ 148658.67,Individuals,0,I,0,1,0,3987
F,74 years,$ 65049.33,Individuals,0,I,0,0,0,5326
M,46 years,$ 297163.5,Individuals,0,I,0,0,0,3029
M,22 years,$ 105784.59,College_Graduated,0,A,1,1,0,1132
M,23 years,$ 120411.06,College_Graduated,0,I,0,1,0,1053
M,34 years,$ 72310.68,Individuals,0,I,0,1,0,4576
M,55 years,$ 113781.66,Individuals,0,A,1,4,0,968
F,30 years,$ 82348.47,Individuals,0,I,0,1,0,1580
M,24 years,$ 60380.61,College_Graduated,0,A,1,1,0,1507
M,45 years,$ 403880.64,Individuals,0,A,1,2,0,3349
M,34 years,$ 81599.79,Individuals,0,I,0,1,0,1809
M,55 years,$ 255592.11,Individuals,0,I,0,0,0,3862
M,61 years,$ 164655.54,Individuals,0,I,0,1,0,2862
M,66 years,$ 315167.7,Individuals,0,I,0,0,0,5342
M,43 years,$ 213777.72,Individuals,0,I,0,1,0,4413
F,42 years,$ 78034.86,Individuals,1,A,1,5,0,4251
M,47 years,$ 88014.72,Individuals,1,A,1,5,0,4912
M,48 years,$ 83527.53,Individuals,0,A,1,2,0,6463
M,56 years,$ 224784.24,Individuals,0,A,1,1,0,6246
F,24 years,$ 54297.9,College_Graduated,0,I,0,1,0,1867
F,49 years,$ 204214.44,Individuals,1,A,1,3,0,1804
M,23 years,$ 41317.62,College_Graduated,0,I,0,1,0,670
F,21 years,$ 94836.78,College_Graduated,0,I,0,1,0,373
F,24 years,$ 45037.8,College_Graduated,0,I,0,1,0,1759
F,21 years,$ 34209.66,College_Graduated,0,I,0,1,0,783
M,57 years,$ 182074.11,Individuals,0,A,1,6,0,2109
F,22 years,$ 95791.02,College_Graduated,0,I,0,1,0,1076
M,54 years,$ 146730.27,Individuals,0,I,0,1,0,3985
M,41 years,$ 99201.9,Individuals,0,I,0,2,0,2764
F,70 years,$ 164104.05,VIP,0,A,1,6,0,7211
F,36 years,$ 353447.55,Individuals,0,A,1,1,0,2285
M,51 years,$ 324947.28,Individuals,0,A,1,2,0,4301
M,24 years,$ 58021.05,College_Graduated,0,I,0,1,0,1509
M,25 years,$ 86619.9,College_Graduated,0,I,0,1,0,734
M,23 years,$ 85280.28,College_Graduated,0,I,0,1,0,1453
F,21 years,$ 139237.68,College_Graduated,0,A,1,1,0,779
M,23 years,$ 99158.7,College_Graduated,0,I,0,1,0,1467
M,24 years,$ 170875.44,College_Graduated,0,I,0,1,0,1810
F,44 years,$ 145642.74,Individuals,0,A,1,2,0,4044
F,38 years,$ 142501.29,Individuals,0,A,0,1,0,4241
F,52 years,$ 85695.12,Individuals,0,I,0,0,0,7598
F,47 years,$ 67991.88,Individuals,0,I,0,0,0,669
M,23 years,$ 75281.31,College_Graduated,0,A,1,1,0,1075
F,28 years,$ 44582.04,College_Graduated,0,I,0,1,0,1462
F,58 years,$ 144736.77,VIP,0,A,1,4,0,5837
M,25 years,$ 367566.24,College_Graduated,0,I,0,0,0,1390
M,25 years,$ 32250.33,Individuals,0,A,1,2,0,1083
M,49 years,$ 65490.0,Individuals,0,I,0,0,0,1396
F,37 years,$ 136696.8,Individuals,0,A,1,2,0,766
F,49 years,$ 336973.59,Individuals,0,I,1,1,0,1665
M,31 years,$ 75208.74,College_Graduated,0,I,0,1,0,1514
F,40 years,$ 65712.24,Individuals,0,I,0,0,0,842
M,60 years,$ 192599.25,Individuals,0,A,1,5,0,5536
F,51 years,$ 92544.54,VIP,1,A,1,6,0,4653
F,24 years,$ 101509.38,College_Graduated,0,I,0,1,0,1741
F,26 years,$ 34657.38,College_Graduated,0,I,0,1,0,1776
F,14 years,$ 122587.71,Individuals,0,I,0,0,0,3642
F,20 years,$ 68221.35,College_Graduated,0,A,0,1,0,790
F,43 years,$ 132522.36,Individuals,0,A,1,2,0,2502
F,31 years,$ 49967.34,Individuals,0,A,1,2,0,789
F,38 years,$ 35248.89,Individuals,0,I,0,1,0,3246
F,41 years,$ 98233.11,Individuals,0,A,1,2,0,5451
M,23 years,$ 48115.2,College_Graduated,0,I,0,1,0,1067
F,42 years,$ 61097.04,Individuals,0,I,0,0,0,1396
M,26 years,$ 57910.71,College_Graduated,0,I,0,1,0,1446
M,23 years,$ 43477.38,College_Graduated,0,I,0,1,0,719
F,25 years,$ 120333.69,College_Graduated,0,I,0,1,0,1759
F,58 years,$ 571154.58,Individuals,0,I,0,0,0,7061
F,58 years,$ 132187.77,Individuals,0,I,0,1,0,7215
M,35 years,$ 23767.11,Individuals,0,I,0,1,0,1055
M,53 years,$ 48647.58,Individuals,0,A,0,1,1,3348
